group,name,radius
1,а я я,10
1,августин,30
1,авто,10
1,автобат,10
1,ага,10
1,ай нанэ нанэ,20
1,ака,20
1,акапулько ай-яй-яй-яй,10
1,аккорды,10
1,алекс,30
1,александр,130
1,александр устьянцев,10
1,александров,30
1,александров дмитрий,10
1,александров дмитрий танцуй,10
1,александров дмитрий танцую,10
1,александров дмитрий танцуют,10
1,алексей,10
1,алексей бобл,10
2,а если несколько,10
2,а если несколько слов,10
2,а если я,10
2,а если я скажу,10
2,а что нам,10
2,а что нам показать,10
2,а что нам показать детям какой там интерфейс,10
2,а что нам показать детям какой там интерфейс что нам делать как нам быть,10
2,а я,60
2,а я плачу,10
2,а я получу диплом,30
2,а я с днем,10
2,а я с днем рождения,10
2,абырвалг,20
3,алтай,60
3,алтан,80
3,аля карт,10
3,алёна привет,20
3,анабиоз,20
3,анапа,10
3,анархия мать порядка,30
3,анастасия,50
3,анастасия анатольевна,50
3,анатолий,20
3,анатольевна,50
3,английский,10
3,английский слова,10
3,андрей,40
3,андрей курамшин,10
3,андрея,10
3,андроиде от ниток,10
3,андрюш,10
3,андрюша,20
3,андрюша ты п****,10
3,андрюшу,10
3,анечка,20
3,анечку,20
3,анистар,10
3,анна,20
3,анна докучаева,30
3,аннотация,20
3,аннушка,10
3,аннушка разлила,20
3,аннушка разлила масло,20
3,анора,10
3,антон,10
3,антон олень,30
3,антонелли,10
3,антонов,10
3,аню,10
3,анют,10
3,анюта,10
3,анютка,30
3,аня,320
3,аня аня,40
3,аня аня аня,20
3,аня аня дрянь,20
3,аня аня дрянь аня,10
3,аня аня дрянь аня дрянь,10
3,аня диана,10
3,аня для тебя,10
3,аня дрянь,10
3,аня зануда,30
3,аня и влад,20
3,аня из,10
4,алло алло,10
4,алло алло алло,50
4,алло братан,20
4,алло мам,20
4,аллоды,20
4,альметте,10
4,альметьевск,10
4,альметьевска,30
4,альянс,10
4,ама хасла,10
4,ама хасла ама,10
4,ама хасла ама хасла,10
4,амина спб,10
4,амнистия,10
4,анастасия,20
4,анастасия андреева,50
4,анатолий,30
4,анатольевич,10
4,анатольевич медведев,10
4,ангел,10
4,ангелина,40
4,ангелина хлеб,40
4,ангелы,10
4,андреева,20
4,андрей,10
4,андрей гей,30
4,андрон,10
4,андронный,20
4,андронный колайдер,10
4,андронный коллайдер,10
4,анечка,20
4,анжелика,10
4,анжелина,10
4,анжелина джоли,30
4,анжи,10
4,анка,40
4,античности,10
4,антон,50
4,антон лидерский лучший в мире человек,10
4,антон яровский лучший в мире,10
4,аня,210
4,аня века,10
4,аня вика огонь,10
4,аня завален,10
4,аня завалить сессию,30
4,апокалипсис,30
4,апокалипсис вчера,30
4,аполлона,10
4,аракин,20
4,аракин 1,10
5,алгоритм,20
5,александр,10
5,алексеев,10
5,алексеевна,10
5,алексей,40
5,аленка,20
5,алина,40
5,алина дура,20
5,алиса,20
5,алиса маша,10
5,алиса маша саша настя,10
5,алиса мон,10
5,алкоголик,10
5,алло,240
5,алло алло,30
5,алло привет,10
5,алфавит,20
5,алферова,10
5,аля улю,10
5,аляутдинов,20
5,ама хасла,20
5,амур,20
5,анастасия,100
5,ангел,10
5,ангелина,10
5,ангелы,30
5,андрей,40
5,андрей пресс,10
5,андрей пресс-релиз,20
5,анечка,20
5,анечка emi-school.ru,10
5,анечка имя,10
5,анжела,20
5,анисимова,10
5,анна,20
5,аннет дела,10
5,анора,10
5,антон,30
5,антон любит,10
5,антон любит олю,20
5,аню,10
5,аня,150
5,аня + юля,10
6,анапа,10
6,анастасия,60
6,анатолий,30
6,анатолий супермен,20
6,ангел,10
6,ангелы,20
6,английски,10
6,английским,30
6,андрей,30
6,андрей какаш,10
6,андрей какашка,10
6,андроидный,10
6,андроидный коллайдер,20
6,андромеда,20
6,анимации,30
6,аниме,10
6,аниме кошечка,20
6,"аниме кошечка пацан, кошечка",10
6,аниме кошечка пациент,10
6,"аниме кошечка путин, кошечка",10
6,анна,30
6,анора,10
6,антипатриот,50
6,антипод,20
6,античность,30
6,антон,110
6,антон приду,20
6,антон придурок,60
6,антоний,10
6,антонин,10
6,антонина,30
6,анфиса,50
6,анфиса анфиса,20
6,анька,20
6,аню,10
6,анюта я пришла,10
6,аня,40
6,аня чмо,10
6,аня чмо чмо,20
6,апельсин,20
6,апельсин мандарин,10
6,апокалипсис,20
6,апокалипсис сегодня,20
6,аполлон,30
6,аптека,20
6,ар ю май,10
6,ара зам,20
6,араб,10
6,арабелла,60
6,араз,10
6,арба это танцы,10
6,арбат,10
7,ай лав,10
7,ай лав ю,50
7,але машка,10
7,алекс,20
7,александр,20
7,александра,30
7,александровна,40
7,алексей,20
7,алемарко,10
7,алена,20
7,алеша,10
7,али машка,20
7,ализе,10
7,алима,10
7,алимов,20
7,алина,190
7,алина алина,60
7,алина алина алина,50
7,алина алина алина алина,20
7,алина алина алина алина алина,20
7,алло,10
7,альба,10
7,альбатрос,30
7,альберт,10
7,анадырь,20
7,анализ,10
7,анализ счета,10
7,анальные,10
7,анальные шарики,30
7,анальный,10
7,анапа,20
7,андрей,10
8,where,10
8,wi-fi,10
8,wiki,10
8,wow,20
8,youtube,20
8,а,90
8,а а а,10
8,а в,20
8,а в мария,20
8,а вот и нет,20
8,а где,10
8,а если сказать,10
8,а если сказать прямо,10
8,а если сказать прямо целые предложения,10
8,а если сказать прямо целые предложения насос может ли отразиться,10
8,а как,20
8,а как зовут,10
8,а как зовут вашу собаку,10
8,а как зовут нашу,10
8,а какая,10
8,а куда,20
8,а куда идти,10
8,а куда идти дальше,10
8,а куда я,10
10,алекс алекс алекс алекс,10
10,алекса,10
10,александр,40
10,александр македонский,10
