group,name,radius
1,scala ru,10
1,share,10
1,sirenia,10
1,skype приду,10
1,stetson пенанг,20
1,suek,20
1,table,10
1,tutu.ru,10
1,twitter,20
1,ubuntu,10
1,vladivostok,10
1,warframe,10
1,welcome,20
1,wingate,10
1,wow,30
1,yahoo,10
1,zopo,30
1,а,30
1,а августе,10
2,steam,20
2,suzuki красное,10
2,tissot,10
2,tissot робокар,10
2,ukr,10
2,unix,30
2,vera,50
2,vera vera,50
2,vera vera vera,10
2,vera vera vera vera,10
2,vera vera vera vera vera vera vera vera,20
2,visa classic,10
2,vk,10
2,vk.com,10
3,а где к,10
3,а где катя,30
3,а диагональ,10
3,а если,10
3,а как вас зовут,20
3,а кто,10
3,а кто нас отмечать то будет,20
3,а кто нас отмечают,10
3,а может,40
3,а может мы,10
3,а может мы заботимся избежим,10
3,а может мы забудем все,10
3,а может мы забудем все избежим,10
3,а может не забыть,10
3,а может путин,20
3,а может путь,10
3,а можно,10
3,а можно все,30
3,а мы,30
3,а мы уже смотрели,20
3,а на самом деле,20
3,а на самом деле и марина,10
3,а на самом деле и марина. просто сумасшедший,10
3,а на самом деле и марина. просто сумасшедший затащил,10
3,а на самом деле и марина. просто сумасшедший затащил нас отсюда,10
3,а ну есть,10
3,а ну и,10
3,а ну иди сюда,10
3,а песня я тебе не надоело оттягиваться,10
3,а сюда,10
3,а так хорошо,10
3,а так хорошо будет,10
3,а так хорошо будет видно,10
3,а тебе не надоело повторять,10
3,а тебя,10
3,а ты пойдешь,10
3,а ты пойдешь со мной,10
3,а ты пойдешь со мной на пикник,10
3,а у,20
3,а у реки,20
3,а у реки а у,10
3,а у реки а у реки,10
3,а у реки а у реки а у реки гуляют,10
3,а у реки а у реки а у реки гуляют девки,10
3,а у реки а у реки а у реки гуляют девки гуляют мужики,10
3,а у реки а у реки а у реки гуляют девки гуляют мужики и мужики и девки гуляют в реке река для всех музыки,10
3,а у реки а у реки а у реки гуляют девки гуляют мужики мужики,10
3,а у реки а у реки а у реки гуляют девки гуляют мужики мужики и девки гуляют мужики,10
3,а у реки а у реки а у реки гуляют девки гуляют мужики мужики и девки гуляют мужики река,10
3,а что здесь такого,20
3,а что надо говорить,20
4,the forest,10
4,tom,160
4,twerk,10
4,twerk twerk,10
4,twerk twerk twerk,40
4,uber,60
4,unc unc,20
4,understand,20
4,ups,20
4,usb,10
4,viber,30
4,victory,10
4,videos,10
4,vilnius,10
4,vk.com,10
4,voice,10
4,warden,10
4,way forever,20
4,webasto,50
4,webasto webasto,10
4,whatsapp,10
4,white,20
4,wi-fi,40
4,wi-fi на жопе,10
4,wow,50
4,www.vk.com,10
